County,Turbine count
Nolan,1411
Willacy,660
Scurry,649
Sterling,632
Carson,620
Pecos,582
Glasscock,469
Borden,462
Kenedy,454
Webb,450
Floyd,441
Hansford,432
San Patricio,428
Starr,419
Oldham,418
Upton,373
Taylor,370
Crockett,369
Wilbarger,361
Lynn,318
Coke,316
Castro,282
Knox,276
Mills,269
Haskell,265
Cameron,258
Fisher,254
Shackelford,245
Hale,239
Young,222
Howard,219
Mitchell,206
Archer,188
Cooke,179
Jack,177
Throckmorton,177
Concho,170
Irion,163
Deaf Smith,162
Callahan,158
Nueces,150
Limestone,148
Foard,139
Bee,137
McCulloch,128
Ochiltree,123
Briscoe,123
Crosby,120
Clay,119
Baylor,116
Dawson,111
Hidalgo,111
Zapata,110
Refugio,108
Reagan,105
Hardeman,103
Dickens,100
Comanche,99
Parmer,96
Roberts,95
Schleicher,92
Winkler,87
Martin,80
Moore,72
Randall,71
Gray,69
Val Verde,69
Garza,67
Cochran,67
Donley,63
Hemphill,61
Kent,58
Andrews,57
Tom Green,56
Kinney,55
Duval,53
Matagorda,48
Hill,46
Navarro,42
Erath,37
Bailey,35
Jim Hogg,35
Armstrong,34
Sherman,26
Lubbock,20
Stonewall,18
Eastland,17
McLennan,14
Hutchinson,10
Ector,9
Lampasas,9
Lamb,8
Potter,5
Denton,3
Collin,2
El Paso,2
Hartley,2
Brown,1
Gaines,1
Ellis,1
